Order Date,Ship Date,Ship Mode,Customer ID,Postal Code,Product ID,Sales
2017-11-08,2017-11-11,Second Class,CG-12520,42420.0,FUR-BO-10001798,261.96
2017-11-08,2017-11-11,Second Class,CG-12520,42420.0,FUR-CH-10000454,731.94
2017-06-12,2017-06-16,Second Class,DV-13045,90036.0,OFF-LA-10000240,14.62
2016-10-11,2016-10-18,Standard Class,SO-20335,33311.0,FUR-TA-10000577,957.5775
2016-10-11,2016-10-18,Standard Class,SO-20335,33311.0,OFF-ST-10000760,22.368
2015-06-09,2015-06-14,Standard Class,BH-11710,90032.0,FUR-FU-10001487,48.86
2015-06-09,2015-06-14,Standard Class,BH-11710,90032.0,OFF-AR-10002833,7.28
2015-06-09,2015-06-14,Standard Class,BH-11710,90032.0,TEC-PH-10002275,907.152
2015-06-09,2015-06-14,Standard Class,BH-11710,90032.0,OFF-BI-10003910,18.504
2015-06-09,2015-06-14,Standard Class,BH-11710,90032.0,OFF-AP-10002892,114.9
2015-06-09,2015-06-14,Standard Class,BH-11710,90032.0,FUR-TA-10001539,1706.184
2015-06-09,2015-06-14,Standard Class,BH-11710,90032.0,TEC-PH-10002033,911.424
2018-04-15,2018-04-20,Standard Class,AA-10480,28027.0,OFF-PA-10002365,15.552
2017-12-05,2017-12-10,Standard Class,IM-15070,98103.0,OFF-BI-10003656,407.976
2016-11-22,2016-11-26,Standard Class,HP-14815,76106.0,OFF-AP-10002311,68.81
2016-11-22,2016-11-26,Standard Class,HP-14815,76106.0,OFF-BI-10000756,2.544
2015-11-11,2015-11-18,Standard Class,PK-19075,53711.0,OFF-ST-10004186,665.88
2015-05-13,2015-05-15,Second Class,AG-10270,84084.0,OFF-ST-10000107,55.5
2015-08-27,2015-09-01,Second Class,ZD-21925,94109.0,OFF-AR-10003056,8.56
2015-08-27,2015-09-01,Second Class,ZD-21925,94109.0,TEC-PH-10001949,213.48
2015-08-27,2015-09-01,Second Class,ZD-21925,94109.0,OFF-BI-10002215,22.72
2017-12-09,2017-12-13,Standard Class,KB-16585,68025.0,OFF-AR-10000246,19.46
2017-12-09,2017-12-13,Standard Class,KB-16585,68025.0,OFF-AP-10001492,60.34
2018-07-16,2018-07-18,Second Class,SF-20065,19140.0,FUR-CH-10002774,71.372
2016-09-25,2016-09-30,Standard Class,EB-13870,84057.0,FUR-TA-10000577,1044.63
2017-01-16,2017-01-20,Second Class,EH-13945,90049.0,OFF-BI-10001634,11.648
2017-01-16,2017-01-20,Second Class,EH-13945,90049.0,TEC-AC-10003027,90.57
2016-09-17,2016-09-21,Standard Class,TB-21520,19140.0,FUR-BO-10004834,3083.43
2016-09-17,2016-09-21,Standard Class,TB-21520,19140.0,OFF-BI-10000474,9.618
2016-09-17,2016-09-21,Standard Class,TB-21520,19140.0,FUR-FU-10004848,124.2
2016-09-17,2016-09-21,Standard Class,TB-21520,19140.0,OFF-EN-10001509,3.264
2016-09-17,2016-09-21,Standard Class,TB-21520,19140.0,OFF-AR-10004042,86.304
2016-09-17,2016-09-21,Standard Class,TB-21520,19140.0,OFF-BI-10001525,6.858
2016-09-17,2016-09-21,Standard Class,TB-21520,19140.0,OFF-AR-10001683,15.76
2018-10-19,2018-10-23,Second Class,MA-17560,77095.0,OFF-PA-10000249,29.472
2017-12-08,2017-12-10,First Class,GH-14485,75080.0,TEC-PH-10004977,1097.544
2017-12-08,2017-12-10,First Class,GH-14485,75080.0,FUR-FU-10003664,190.92
2016-12-27,2016-12-31,Standard Class,SN-20710,77041.0,OFF-EN-10002986,113.328
2016-12-27,2016-12-31,Standard Class,SN-20710,77041.0,FUR-BO-10002545,532.3992
2016-12-27,2016-12-31,Standard Class,SN-20710,77041.0,FUR-CH-10004218,212.058
2016-12-27,2016-12-31,Standard Class,SN-20710,77041.0,TEC-PH-10000486,371.168
